WKT,名稱,說明
"POINT (120.65148 24.44343)",1-1 0500 苑裡車站,0700 2021
"POINT (120.654118 24.378065)",1-1 0800 日南車站,2021
"POINT (120.627017 24.344429)",1-1 0900 大甲車站,2021
"POINT (120.602303 24.304388)",1-2 1200-1400 台中港車站,2021
"POINT (120.5653086 24.2426132)",1-3 家樂福 沙鹿店,2021
"POINT (120.545344 24.1517009)",2-1 0850 中華郵政ATM,2021
"POINT (120.59016 24.11423)",2-2 成功車站,2021
"POINT (120.57013 24.12058)",2-2 追分車站,2021
"POINT (120.5536598 24.0845397)",2-2  1500 中油彰化加油站 (直營),2021
"POINT (120.5356216 24.0394229)",2-3 1730 BMW汽車昌一展示中心,2021
"POINT (120.5754372 23.9580584)",3-1 0730 全家便利商店 ,2021
"POINT (120.5222917 23.881188)",3-2 1200-1400 北斗大菜市場,2021
"POINT (120.4689421 23.8325486)",萊爾富便利商店 溪州風鈴木道,
"POINT (120.4572697 23.8057749)",3-3 1700 西螺森活武樹公園,2021 
"POINT (120.461831 23.8038846)",3-3 1700- 0500 西螺延平老街免費停車場,2021
"POINT (120.4605212 23.8016276)",3-3 【西螺福興宮 西螺媽祖太平媽】媽祖文化祭｜丙午年網路點燈｜安太歲｜線上喜點福燈｜2026點燈服務,2021
"POINT (120.4391716 23.7289626)",4-1 1100 虎尾木棉花道,2021
"POINT (120.441116 23.719934)",4-2 1200 MOOVO 安溪社區活動中心,2021
"POINT (120.4363629 23.7041765)",4-3 1600 虎尾驛,2021
"POINT (120.3887702 23.6720272)",4-3 1800 全聯福利中心 土庫中華店,
"POINT (120.3133899 23.651147)",05-01 0700 元長鄉停一停車場,2021
